precision,recall,f1,ap,ndcg
1.0,0.028409090909090908,0.05524861878453039,0.028409090909090908,1.0
0.5,0.023923444976076555,0.045662100456621,0.014300903774587986,0.7376801427060833
0.8,0.0449438202247191,0.0851063829787234,0.037702871410736576,0.9384745935215792
1.0,0.027855153203342618,0.05420054200542005,0.027855153203342618,1.0
0.6,0.10526315789473684,0.17910447761194026,0.08260233918128654,0.9181890364255552
1.0,0.1111111111111111,0.19999999999999998,0.1111111111111111,1.0
0.6,0.019230769230769232,0.037267080745341616,0.008763227513227513,0.622278380628939
1.0,0.02320185614849188,0.045351473922902494,0.02320185614849188,1.0
0.9,0.02556818181818182,0.04972375690607735,0.024968434343434345,0.9937947856332161
0.7,0.025925925925925925,0.049999999999999996,0.016699000587889475,0.7571453504280033
0.4,0.014545454545454545,0.028070175438596492,0.006043290043290043,0.6283303929311413
0.7,0.0166270783847981,0.03248259860788863,0.01202635448478679,0.886759288789469
0.6,0.014634146341463415,0.028571428571428574,0.011707317073170732,0.9045395669105326
0.8,0.0326530612244898,0.0627450980392157,0.03074344023323615,0.9830168297915423
1.0,0.020366598778004074,0.03992015968063872,0.020366598778004074,1.0
0.1,0.25,0.14285714285714288,0.03571428571428571,0.3333333333333333
1.0,0.02610966057441253,0.050890585241730284,0.02610966057441253,1.0
0.2,0.005780346820809248,0.011235955056179775,0.0010597302504816958,0.39564672360221187
0.2,0.05555555555555555,0.08695652173913045,0.012566137566137565,0.4227898344066503
1.0,0.03546099290780142,0.06849315068493152,0.03546099290780142,1.0
0.8,0.05263157894736842,0.09876543209876543,0.04579678362573099,0.9560094522876519
0.8,0.049079754601226995,0.09248554913294797,0.04242623429739994,0.9466454870600813
0.3,0.00911854103343465,0.017699115044247787,0.005192502532928064,0.7844801364718913
1.0,0.030864197530864196,0.059880239520958084,0.030864197530864196,1.0
0.4,0.3333333333333333,0.3636363636363636,0.22592592592592595,0.854105797972385
0.3,0.05,0.08571428571428572,0.02638888888888889,0.7585866543655181
0.7,0.7,0.7,0.6365476190476189,0.9683310355387569
1.0,0.04405286343612335,0.08438818565400845,0.04405286343612335,1.0
1.0,0.03225806451612903,0.0625,0.03225806451612903,1.0
0.0,0.0,0.0,0.0,0.0
0.2,0.08695652173913043,0.12121212121212122,0.08695652173913043,1.0
0.2,0.011560693641618497,0.02185792349726776,0.004174694926140012,0.5714285040141098
0.0,0.0,0.0,0.0,0.0
0.4,0.037037037037037035,0.06779661016949153,0.0191358024691358,0.7597974756082397
0.6,0.75,0.6666666666666665,0.7113095238095237,0.9838048780283076
0.7,0.024054982817869417,0.046511627906976744,0.022533136966126657,0.9815441540827996
1.0,0.033112582781456956,0.06410256410256411,0.033112582781456956,1.0
0.6,0.017241379310344827,0.0335195530726257,0.008706212370005474,0.659952572769028
0.4,0.012307692307692308,0.023880597014925373,0.012307692307692308,1.0
0.3,0.03488372093023256,0.0625,0.018604651162790697,0.6797310500037655
